Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Min-woo Park 박민우","- - -","—",2413,0.09697472,0.127227517,0.762214983,0.30105465,0.382845188,0.406040268,0.788885456,0.104985618,6.812348686076211,0.341600901,11.119187718140893,349.66439355736856,51.85890152877455,0.3663670002333176,117.09627958481774,"Min-woo Park","sa3012337",
"Jin-sung Kang 강진성","- - -","—",744,0.077956989,0.153225806,0.508771929,0.237442922,0.31614654,0.333333333,0.649479873,0.095890411,4.051303577753091,0.271028037,1.3901233419310302,71.86211521454399,-18.576635082287154,0.30971245926472407,79.58204652687543,"Jin-sung Kang","sa3012344",
"Jin-hyuk No 노진혁","- - -","—",1595,0.104702194,0.231974921,0.451351351,0.264642082,0.345983554,0.406362979,0.752346533,0.141720897,3.089618469013399,0.333333333,0.15255028172396123,205.23973861307525,11.761847808665303,0.34906274738348075,106.8657942586374,"Jin-hyuk No","sa3012348",
"Seong-uk Kim 김성욱","- - -","—",816,0.079656862,0.235294117,0.338541666,0.214285714,0.29789864,0.364145658,0.662044298,0.149859944,5.284937269570216,0.252485089,-0.17254177504219115,79.09661800967746,-25.26640580786175,0.3067701982037246,76.03308832632302,"Seong-uk Kim","sa3012349",
"Sung-bum Na 나성범","- - -","—",2492,0.094703049,0.228330658,0.414762741,0.300137048,0.375752709,0.517587939,0.893340648,0.217450891,2.7745682791571364,0.355555555,-1.1905366971623152,428.2692215765055,121.83210754638274,0.40204848213956895,140.54708162366506,"Sung-bum Na","sa3012352",
"Seung-ho Kang 강승호","- - -","—",2383,0.058749475,0.250104909,0.234899328,0.257631822,0.311016949,0.402867715,0.713884664,0.145235893,6.168563223534458,0.328552803,3.0018541482277215,266.19835593502376,-28.10744795997284,0.3251956936353529,90.3301877927299,"Seung-ho Kang","sa3012361",
"Seung-hyun Jang 장승현","- - -","—",522,0.065134099,0.235632183,0.276422764,0.198660714,0.285148514,0.267857142,0.553005656,0.069196428,2.2181637722950676,0.260869565,-0.3295243983156979,35.552440978838526,-27.431595422075667,0.2720131574290814,56.16334209351744,"Seung-hyun Jang","sa3012365",
"In-tae Kim 김인태","- - -","—",1094,0.146252285,0.194698354,0.751173708,0.243660418,0.363970588,0.35170893,0.715679518,0.108048512,2.080221995191563,0.296622613,-1.9044585095252842,137.3863841259995,5.169345569066099,0.3445545010536004,104.04725587132066,"In-tae Kim","sa3012367",
"Woo-sung Lee 이우성","- - -","—",1642,0.087088915,0.185749086,0.468852459,0.288934426,0.354818907,0.398224043,0.75304295,0.109289617,3.4445232450597514,0.347902097,-0.2765995269874111,215.41822565160672,10.697978412732274,0.3493834635661199,105.33416510320384,"Woo-sung Lee","sa3012368",
"Woon-ho Jang 장운호","- - -","—",495,0.111111111,0.208080808,0.533980582,0.235576923,0.335390946,0.274038461,0.609429407,0.038461538,2.30661595765325,0.30599369,-2.6434759539552033,44.9029073576364,-14.930125995453885,0.30165770729792485,75.15212941672843,"Woon-ho Jang","sa3012393",
